Name	Order	Customer PO	    Line	Status	Customer Item	Description	Customer Item	Qty Ordered	U/M	Due date	Unit Price	Net Price	Currency
DIEHL AVIATION GILCHING GMBH	83331210	F--L32A319-165-001--1	3	Ordered	65781-1	GRIP	458213	10	ST	15/08/2025	126,21	1.262,10	USD
DIEHL AVIATION GILCHING GMBH	83331202	F--L32A319-165-001--1	1	Ordered	7-45652-4	CONTROL CABLE, DRAIN	96.32500-8001	40	ST	09/05/2025	341,1	13.644,00	USD
DIEHL AVIATION GILCHING GMBH	83331202	F--L32A319-165-001--1	2	Ordered	7-45652-4	CONTROL CABLE, DRAIN	96.32500-8001	30	ST	24/06/2025	341,1	10.233,00	USD
DIEHL AVIATION GILCHING GMBH	83331201	F--L32A319-165-001--1	1	Ordered	7-45653-5	Control Assy, F/D Overflow	96.32501-2001	40	ST	25/03/2025	796,09	31.843,60	USD
DIEHL AVIATION GILCHING GMBH	83331201	F--L32A319-165-001--1	2	Ordered	7-45653-5	Control Assy, F/D Overflow	96.32501-2001	30	ST	09/05/2025	796,09	23.882,70	USD
DIEHL AVIATION GILCHING GMBH	83331201	F--L32A319-165-001--1	3	Ordered	7-45653-5	Control Assy, F/D Overflow	96.32501-2001	40	ST	30/06/2025	796,09	31.843,60	USD
DIEHL AVIATION GILCHING GMBH	83331201	F--L32A319-165-001--1	4	Ordered	7-45653-5	Control Assy, F/D Overflow	96.32501-2001	50	ST	30/07/2025	796,09	39.804,50	USD
DIEHL AVIATION GILCHING GMBH	83331175	F--L32A319-165-001--1	2	Ordered	L71A321XLR-12	Cable Control CC3067-00 SERIAL-UNIT	479039	10	ST	09/06/2025	1.130,00	11.300,00	USD
DIEHL AVIATION GILCHING GMBH	83331175	F--L32A319-165-001--1	4	Ordered	65783-1	SCREW, BALL LOADING		10	ST	07/10/2024	12,7	127	USD
DIEHL AVIATION GILCHING GMBH	83331169	F--L32A319-165-001--1	10	Ordered	7-45652-3	CONTROL CABLE, OVERFLOW	96.32500-9001	30	ST	28/04/2025	413,49	12.404,70	USD
DIEHL AVIATION GILCHING GMBH	83331169	F--L32A319-165-001--1	11	Ordered	7-45652-3	CONTROL CABLE, OVERFLOW	96.32500-9001	32	ST	19/05/2025	413,49	13.231,68	USD
DIEHL AVIATION GILCHING GMBH	83331169	F--L32A319-165-001--1	12	Ordered	7-45652-3	CONTROL CABLE, OVERFLOW	96.32500-9001	20	ST	10/07/2025	413,49	8.269,80	USD
DIEHL AVIATION GILCHING GMBH	83331169	F--L32A319-165-001--1	13	Ordered	7-45652-3	CONTROL CABLE, OVERFLOW	96.32500-9001	10	ST	11/08/2025	413,49	4.134,90	USD
DIEHL AVIATION GILCHING GMBH	83331163	F--L32A319-165-001--1	5	Ordered	7-45652-2	CONTROL CABLE, POTABLE WATER DRAIN	96.33501-3001	4	ST	30/04/2025	442,76	1.771,04	USD
DIEHL AVIATION GILCHING GMBH	83331163	F--L32A319-165-001--1	6	Ordered	7-45652-2	CONTROL CABLE, POTABLE WATER DRAIN	96.33501-3001	7	ST	08/05/2025	442,76	3.099,32	USD
DIEHL AVIATION GILCHING GMBH	83331156	F--L32A319-165-001--1	14	Ordered	7-45654-1	WASTE DRAIN VALVE LEVER	96.32500-7001	40	ST	23/04/2025	833,74	33.349,60	USD
DIEHL AVIATION GILCHING GMBH	83331156	F--L32A319-165-001--1	15	Ordered	7-45654-1	WASTE DRAIN VALVE LEVER	96.32500-7001	40	ST	21/05/2025	833,74	33.349,60	USD
DIEHL AVIATION GILCHING GMBH	83331156	F--L32A319-165-001--1	16	Ordered	7-45654-1	WASTE DRAIN VALVE LEVER	96.32500-7001	15	ST	11/06/2025	833,74	12.506,10	USD
DIEHL AVIATION GILCHING GMBH	83331146	F--L32A319-165-001--1	12	Ordered	7-45653-2	Control Assy, Fill/Drain	96.32501-1001	20	ST	15/05/2025	751,97	15.039,40	USD
DIEHL AVIATION GILCHING GMBH	83331146	F--L32A319-165-001--1	13	Ordered	7-45653-2	Control Assy, Fill/Drain	96.32501-1001	25	ST	25/06/2025	751,97	18.799,25	USD
DIEHL AVIATION GILCHING GMBH	83331146	F--L32A319-165-001--1	101	Ordered	7-45653-2	Control Assy, Fill/Drain	96.32501-1001	15	ST	30/04/2025	751,97	11.279,55	USD
DIEHL AVIATION GILCHING GMBH	83331146	F--L32A319-165-001--1	111	Ordered	7-45653-2	Control Assy, Fill/Drain	96.32501-1001	10	ST	09/05/2025	751,97	7.519,70	USD
DIEHL AVIATION GILCHING GMBH	83331144	F--L32A319-165-001--1	14	Ordered	7-45652-5	CONTROL CABLE, DRAIN	96.32501-0001	40	ST	01/05/2025	478,01	19.120,40	USD
DIEHL AVIATION GILCHING GMBH	83331144	F--L32A319-165-001--1	112	Ordered	7-45652-5	CONTROL CABLE, DRAIN	96.32501-0001	20	ST	26/03/2025	478,01	9.560,20	USD
DIEHL AVIATION GILCHING GMBH	83331143	F--L32A319-165-001--1	7	Ordered	7-45652-1	CONTROL CABLE, POTABLE WATER DRAIN	96.33501-4001	7	ST	16/05/2025	384,87	2.694,09	USD
DIEHL AVIATION GILCHING GMBH	83331143	F--L32A319-165-001--1	8	Ordered	7-45652-1	CONTROL CABLE, POTABLE WATER DRAIN	96.33501-4001	5	ST	30/07/2025	384,87	1.924,35	USD
DIEHL AVIATION GILCHING GMBH	83331143	F--L32A319-165-001--1	9	Ordered	7-45652-1	CONTROL CABLE, POTABLE WATER DRAIN	96.33501-4001	5	ST	26/08/2025	384,87	1.924,35	USD
DIEHL AVIATION GILCHING GMBH	83331135	F--L32A319-165-001--1	6	Ordered	7-45653-1	Control Assy, Fill/Drain	96.33502-0001	10	ST	21/05/2025	834,69	8.346,90	USD
DIEHL AVIATION GILCHING GMBH	83331135	F--L32A319-165-001--1	7	Ordered	7-45653-1	Control Assy, Fill/Drain	96.33502-0001	5	ST	03/06/2025	834,69	4.173,45	USD
DIEHL AVIATION GILCHING GMBH	83331135	F--L32A319-165-001--1	52	Ordered	7-45653-1	Control Assy, Fill/Drain	96.33502-0001	5	ST	24/06/2025	834,69	4.173,45	USD
DIEHL AVIATION GILCHING GMBH	83331107	F--L32A319-165-001--1	8	Ordered	7-45704-11	CONTROL CABLE, WASTE DRAIN	96.33502-2001	10	ST	09/01/2026	1.029,05	10.290,50	USD
DIEHL AVIATION GILCHING GMBH	83331107	F--L32A319-165-001--1	9	Ordered	7-45704-11	CONTROL CABLE, WASTE DRAIN	96.33502-2001	5	ST	29/09/2025	1.029,05	5.145,25	USD
DIEHL AVIATION GILCHING GMBH	83331107	F--L32A319-165-001--1	10	Ordered	7-45704-11	CONTROL CABLE, WASTE DRAIN	96.33502-2001	5	ST	25/11/2025	1.029,05	5.145,25	USD
DIEHL AVIATION GILCHING GMBH	83331070	F--L32A319-165-001--1	9	Ordered	7-45704-12	CONTROL CABLE, WASTE DRAIN	96.33502-3001	3	ST	08/05/2025	904,7	2.714,10	USD
DIEHL AVIATION GILCHING GMBH	83331070	F--L32A319-165-001--1	10	Ordered	7-45704-12	CONTROL CABLE, WASTE DRAIN	96.33502-3001	2	ST	08/05/2025	904,7	1.809,40	USD
DIEHL AVIATION GILCHING GMBH	83331060	F--L32A319-165-001--1	10	Ordered	7-45704-1	CTL LEVER, WASTE DRAIN	96.33502-1001	2	ST	03/06/2025	1.186,44	2.372,88	USD
